ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(2.068e+06)","Runtime Improvement""""(293419)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,8.34,implicit_convolve_sgemm,..implicit_convolve_sgemm..,35.81,2.99,55.34,62.61,80,"  392,    2,    1","    8,    8,    1"
1,17.38,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,14.94,2.60,7.93,44.26,20,"   64,    1,    1","  512,    1,    1"
2,0.00,vectorized_elementwise_kernel,..launch_clamp_scalar..,8.80,0.00,5.92,75.16,18," 1568,    1,    1","  128,    1,    1"
3,6.20,max_pool_forward_nchw,..max_pool_forward_nchw..,11.07,0.69,50.46,53.46,26,"  784,    1,    1","  256,    1,    1"
4,19.22,Kernel2,..cutlass_80_tensorop_s1688gemm_64x64_16x6_nn_align4..,7.01,1.35,8.88,19.68,90,"    8,    7,    1","  128,    1,    1"
5,15.37,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.24,0.96,6.32,21.97,20,"   64,    1,    1","  512,    1,    1"
6,7.49,vectorized_elementwise_kernel,..launch_clamp_scalar..,4.16,0.31,3.63,31.31,18,"  392,    1,    1","  128,    1,    1"
7,12.87,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.46,0.44,3.15,7.92,40,"    2,   16,    1","   32,    4,    1"
8,20.28,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,19.84,4.02,33.13,33.68,130,"    2,    7,    4","  256,    1,    1"
9,14.72,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,6.30,0.93,5.78,22.29,20,"   64,    1,    1","  512,    1,    1"
10,7.08,vectorized_elementwise_kernel,..launch_clamp_scalar..,3.97,0.28,3.95,30.85,18,"  392,    1,    1","  128,    1,    1"
11,21.76,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.72,3.20,12.86,24.68,218,"   32,    2,    1","  128,    1,    1"
12,20.46,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,12.70,2.60,14.12,50.98,20,"  256,    1,    1","  512,    1,    1"
13,21.70,Kernel2,..cutlass_80_tensorop_s1688gemm_256x64_16x4_nn_align4..,14.66,3.18,12.93,25.61,218,"   32,    2,    1","  128,    1,    1"
14,19.46,bn_fw_inf_1C11_kernel_NCHW,..bn_fw_inf_1C11_kernel_NCHW..,13.06,2.54,14.27,53.76,20,"  256,    1,    1","  512,    1,    1"
15,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,12.99,0.00,4.46,76.23,22," 1568,    1,    1","  128,    1,    1"
