ID,Estimated Speedup,Function Name,Demangled Name,"Duration""""(3.10598e+06)","Runtime Improvement""""(345226)",Compute Throughput,Memory Throughput,# Registers,Grid Size,Block Size
0,5.26,computeOffsetsKernel,..computeOffsetsKernel..,3.10,0.16,12.41,6.71,16,"  197,    1,    1","  256,    1,    1"
1,7.01,cudnn_infer_ampere_scudnn_128x64_relu_small_nn_v1,cudnn_infer_ampere_scudnn_128x64_relu_small_nn_v1,35.74,2.51,40.13,39.33,128,"  392,    1,    1","  128,    1,    1"
2,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,32.42,0.00,31.78,84.91,16,"12544,    1,    1","  128,    1,    1"
3,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,32.10,0.00,5.81,85.42,18," 6272,    1,    1","  128,    1,    1"
4,12.99,generateWinogradTilesKernel,..generateWinogradTilesKernel..,3.55,0.46,3.15,7.66,40,"    2,   16,    1","   32,    4,    1"
5,0.00,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,cudnn_infer_ampere_scudnn_winograd_128x128_ldg1_ldg4_relu_tile148n_nt_v1,177.41,0.00,50.91,54.85,130,"    2,   28,   14","  256,    1,    1"
6,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,32.38,0.00,31.44,84.31,16,"12544,    1,    1","  128,    1,    1"
7,5.16,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,32.45,1.68,6.58,85.08,18," 6272,    1,    1","  128,    1,    1"
8,0.00,max_pool_forward_nchw,..max_pool_forward_nchw..,30.14,0.00,53.18,79.84,26," 3136,    1,    1","  256,    1,    1"
9,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,9.25,0.00,20.94,70.10,33,"  392,    2,    1","  256,    1,    1"
10,5.87,nchwToNhwcKernel,..nchw2nhwc_params_t..,4.16,0.24,16.52,10.38,33,"    1,    2,  128","  256,    1,    1"
11,23.74,sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage4_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,125.47,29.78,25.48,24.27,242,"    1,   98,    1","  128,    1,    1"
12,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,17.79,0.00,31.56,74.59,16," 6272,    1,    1","  128,    1,    1"
13,7.75,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,16.77,1.30,5.66,78.98,18," 3136,    1,    1","  128,    1,    1"
14,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,17.41,0.00,22.12,78.77,33,"  392,    4,    1","  256,    1,    1"
15,13.82,nchwToNhwcKernel,..nchw2nhwc_params_t..,5.22,0.72,23.70,17.65,33,"    1,    4,  128","  256,    1,    1"
16,23.52,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,sm86_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nhwckrsc_nchw_tilesize128x128x16_stage3_warpsize2x2x1_g1_tensor16x8x8_execute_kernel_cudnn_infer,225.86,53.12,28.09,25.48,232,"    1,   98,    1","  128,    1,    1"
17,0.00,elementwise_kernel,..gpu_kernel_impl_nocast..,17.82,0.00,27.30,75.68,16," 6272,    1,    1","  128,    1,    1"
18,8.48,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,17.28,1.47,7.67,78.98,18," 3136,    1,    1","  128,    1,    1"
19,0.00,max_pool_forward_nchw,..max_pool_forward_nchw..,16.45,0.00,54.49,72.31,26," 1568,    1,    1","  256,    1,    1"
20,0.00,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.21,0.00,18.15,48.60,33,"   98,    4,    1","  256,    1,    1"
21,10.21,nchwToNhwcKernel,..nchw2nhwc_params_t..,6.62,0.68,34.92,28.21,33,"    1,    4,  256","  256,    1,    1"
22,15.89,Kernel,..cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5_nhwc_align4..,93.50,14.86,34.24,40.51,118,"  196,    1,    1","  128,    1,    1"
